cache_key,latitude,longitude,talalat
Budapest I|001|Budapest|1014|Úri utca 38. (Önkormányzat Intézménye),47.5013434,19.0316889,"structured: {'street': 'Úri utca 38', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1014'}"
Budapest I|001|Budapest|1014|Tárnok utca 9-11. (Budavári Általános Iskola),47.5007921,19.0346097,"structured: {'street': 'Tárnok utca 9-11', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1014'}"
Budapest I|001|Budapest|1011|Toldy Ferenc utca 9. (Toldy Ferenc Gimnázium),47.5046646,19.0358737,"structured: {'street': 'Toldy Ferenc utca 9', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1011'}"
Budapest I|001|Budapest|1011|Fő utca 31. (III. sz. Idősek Klubja),47.5042362,19.0385152,"structured: {'street': 'Fő utca 31', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1011'}"
Budapest I|001|Budapest|1011|Batthyány u. 8. (Batthyány Lajos Általános Iskola),47.5066602,19.0357233,"structured: {'street': 'Batthyány utca 8', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1011'}"
Budapest I|001|Budapest|1015|Toldy Ferenc utca 66. (Vízivárosi Óvoda),47.5066242,19.0316282,"structured: {'street': 'Toldy Ferenc utca 66', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1015'}"
Budapest I|001|Budapest|1015|Hattyú utca 16. (I. sz. Idősek Klubja),47.5075976,19.0282883,"structured: {'street': 'Hattyú utca 16', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1015'}"
Budapest I|001|Budapest|1015|Attila út 135-137. (Kosztolányi Dezső Gimnázium),47.5048767,19.0249433,"structured: {'street': 'Attila út 135-137', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1015'}"
Budapest I|001|Budapest|1012|Attila út 89. (Szociális Szolgáltatási Központ),47.4999069,19.0303647,"structured: {'street': 'Attila út 89', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1012'}"
Budapest I|001|Budapest|1013|Attila út 43. (Petőfi Sándor Gimnázium),47.4961861,19.0354429,"structured: {'street': 'Attila út 43', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1013'}"
Budapest I|001|Budapest|1013|Mészáros utca 5-7. (Szilágyi Erszébet Gimnázium),47.4964652,19.0301026,"structured: {'street': 'Mészáros utca 5-7', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1013'}"
Budapest I|001|Budapest|1016|Nyárs utca 2-4. (Nyárs utcai Óvoda),47.4931353,19.0306245,"structured: {'street': 'Nyárs utca 2-4', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1016'}"
Budapest I|001|Budapest|1016|Mészáros utca 5-7. (Szilágyi Erzsébet Gimnázium),47.4964652,19.0301026,"structured: {'street': 'Mészáros utca 5-7', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1016'}"
Budapest I|001|Budapest|1016|Lisznyai utca 40-42. (Lisznyai utcai Ált. Isk.),47.4923178,19.0364116,"structured: {'street': 'Lisznyai utca 40-42', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1016'}"
Budapest I|001|Budapest|1016|Tigris utca 58-60. (TIgris utcai Óvoda),47.4906672,19.0352904,"structured: {'street': 'Tigris utca 58-60', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1016'}"
Budapest II|002|Budapest|1023|Ürömi u. 64. (Újlaki Ált. Isk.),47.5272967,19.0328365,"structured: {'street': 'Ürömi utca 64', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1023'}"
Budapest II|002|Budapest|1023|Lajos u. 1-5. (Than Károly Gimn.),47.524589,19.0381868,"structured: {'street': 'Lajos utca 1-5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1023'}"
Budapest II|002|Budapest|1027|Lajos u. 1-5. (Than Károly Gimn.),47.524589,19.0381868,"structured: {'street': 'Lajos utca 1-5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1027'}"
Budapest II|002|Budapest|1023|Bolyai u. 15. (Óvoda),47.5188826,19.0285481,"structured: {'street': 'Bolyai utca 15', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1023'}"
Budapest II|002|Budapest|1025|Áldás u. 1. (Ált. Iskola),47.5177912,19.0272692,"structured: {'street': 'Áldás utca 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1025|Ürömi u. 64. (Újlaki Ált. Isk.),47.5274998,19.0328425,"structured: {'street': 'Ürömi utca 64', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1025|Törökvész út 18. (Kézműv. Óvoda),47.5218929,19.0187283,"structured: {'street': 'Törökvész út 18', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1022|Áldás u. 1. (Ált. Isk.),47.5177912,19.0272692,"structured: {'street': 'Áldás utca 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1022'}"
Budapest II|002|Budapest|1025|Áldás u. 1. (Ált. Isk.),47.5177912,19.0272692,"structured: {'street': 'Áldás utca 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1022|Felvinci út 6-8. (Kollégium),47.5153088,19.0193362,"structured: {'street': 'Felvinci út 6-8', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1022'}"
Budapest II|002|Budapest|1022|Fillér u. 70-76. (Fillér Ált. Isk.),47.5165615,19.0124451,"structured: {'street': 'Fillér utca 70-76', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1022'}"
Budapest II|002|Budapest|1026|Pasaréti út 41. (Bölcsőde),47.5160055,19.0059462,"structured: {'street': 'Pasaréti út 41', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1026'}"
Budapest II|002|Budapest|1022|Fillér utca 70-76. (Fillér Ált. Isk.),47.5165615,19.0124451,"structured: {'street': 'Fillér utca 70-76', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1022'}"
Budapest II|002|Budapest|1022|Törökvész út 18. (Kézműv. Óvoda),47.5218929,19.0187283,"structured: {'street': 'Törökvész út 18', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1022'}"
Budapest II|002|Budapest|1025|Pitypang u. 17. (Ált. Isk.),47.5310844,19.0092947,"structured: {'street': 'Pitypang utca 17', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1025|Törökvész út 67. (Ált. Isk.),47.527431,19.0084654,"structured: {'street': 'Törökvész út 67', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1025'}"
Budapest II|002|Budapest|1026|Törökvész út 48-54. (Móricz Zs. Gimn.),47.524446,19.0103409,"structured: {'street': 'Törökvész út 48-54', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1026'}"
Budapest II|002|Budapest|1026|Fenyves u. 1. (Ált. Isk.),47.521419,18.9999331,"structured: {'street': 'Fenyves utca 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1026'}"
