megye,megye_slug,eredeti_korzet,eredeti_target_mandatum,eredeti_avg_margin,eredeti_avg_polsby,szimulalt_korzet,szimulalt_target_mandatum,szimulalt_avg_margin,szimulalt_avg_polsby,szimulalt_avg_pop_dev,mandatum_valtozas
BARANYA,baranya,4,0,-22.03425,0.214425,4,0,-21.8085,0.29917499999999997,2.58125,0
BORSOD-ABAÚJ-ZEMPLÉN,borsod_abauj_zemplen,7,0,-17.98542857142857,0.2510428571428571,7,2,-17.365714285714287,0.19860000000000003,1.4250000000000003,2
BUDAPEST,budapest,16,0,-38.3520625,0.39948125,16,0,-38.0799375,0.3573625,7.843375,0
BÁCS-KISKUN,bacs_kiskun,6,0,-14.182333333333332,0.27005,6,2,-13.621166666666667,0.27318333333333333,2.7913333333333328,2
BÉKÉS,bekes,4,0,-19.62225,0.259625,4,0,-19.518,0.3763,1.174,0
CSONGRÁD-CSANÁD,csongrad_csanad,4,0,-30.53375,0.320475,4,0,-31.0315,0.36055,1.205,0
FEJÉR,fejer,5,1,-17.4728,0.30294,5,1,-17.531399999999998,0.32554,1.9143999999999999,0
GYŐR-MOSON-SOPRON,gyor_moson_sopron,5,1,-14.597800000000001,0.26876,5,1,-14.632,0.27668,2.3024,0
HAJDÚ-BIHAR,hajdu_bihar,6,1,-14.9825,0.34221666666666667,6,2,-14.409166666666666,0.3149166666666667,2.3811666666666667,1
HEVES,heves,3,0,-16.214333333333332,0.21129999999999996,3,1,-15.723999999999998,0.2916666666666667,2.736,1
JÁSZ-NAGYKUN-SZOLNOK,jasz_nagykun_szolnok,4,0,-15.028,0.276825,4,1,-15.1365,0.382075,2.453,1
KOMÁROM-ESZTERGOM,komarom_esztergom,3,0,-22.805333333333333,0.31829999999999997,3,0,-22.758,0.3731,0.9653333333333333,0
NÓGRÁD,nograd,2,0,-5.9585,0.1939,2,1,-5.893999999999999,0.19785,1.795,1
PEST,pest,14,0,-24.252785714285714,0.4080214285714286,14,0,-24.505285714285716,0.38120000000000004,2.008857142857143,0
SOMOGY,somogy,4,0,-11.67675,0.296,4,1,-11.767,0.27005,2.36475,1
SZABOLCS-SZATMÁR-BEREG,szabolcs_szatmar_bereg,6,3,-6.148166666666666,0.24713333333333334,6,4,-5.578833333333333,0.2293333333333333,2.1765000000000003,1
TOLNA,tolna,3,0,-6.295999999999999,0.20783333333333331,3,1,-6.260666666666666,0.2362,0.8493333333333335,1
VAS,vas,3,1,-5.775666666666666,0.22633333333333336,3,2,-6.162,0.2306666666666667,3.1523333333333334,1
VESZPRÉM,veszprem,4,0,-18.41225,0.23135,4,0,-18.52825,0.349375,0.79825,0
ZALA,zala,3,0,-12.667666666666667,0.3092,3,1,-11.950666666666665,0.2114666666666667,3.9806666666666666,1
