plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
eredeti_oevk,BUDAPEST,54235.0,13180.0,26617.0,33.118,66.882,-33.764,False,0.2595,-13.19,bp_001;bp_005;bp_006;bp_007;bp_011;bp_012
eredeti_oevk,BUDAPEST,59616.0,12746.0,28049.0,31.244,68.756,-37.512,False,0.6218,-4.577,bp_005;bp_008;bp_009
eredeti_oevk,BUDAPEST,54140.0,13477.0,30025.0,30.98,69.02,-38.04,False,0.3767,-13.342,bp_011;bp_012
eredeti_oevk,BUDAPEST,65170.0,15932.0,36244.0,30.535,69.465,-38.93,False,0.2936,4.313,bp_002;bp_003
eredeti_oevk,BUDAPEST,60161.0,11885.0,33743.0,26.048,73.952,-47.905,False,0.5715,-3.704,bp_006;bp_013
eredeti_oevk,BUDAPEST,66589.0,13910.0,35923.0,27.913,72.087,-44.174,False,0.396,6.585,bp_007;bp_014;bp_015
eredeti_oevk,BUDAPEST,65548.0,14673.0,34341.0,29.936,70.064,-40.127,False,0.5787,4.918,bp_008;bp_010;bp_014
eredeti_oevk,BUDAPEST,71592.0,17097.0,36181.0,32.09,67.91,-35.82,False,0.4062,14.592,bp_009;bp_018;bp_019
eredeti_oevk,BUDAPEST,64406.0,14772.0,31629.0,31.836,68.164,-36.329,False,0.2316,3.09,bp_009;bp_011;bp_020;bp_021
eredeti_oevk,BUDAPEST,61842.0,15048.0,33686.0,30.878,69.122,-38.244,False,0.3175,-1.014,bp_011;bp_022
eredeti_oevk,BUDAPEST,64847.0,14836.0,35291.0,29.597,70.403,-40.806,False,0.2382,3.796,bp_003
eredeti_oevk,BUDAPEST,55928.0,12030.0,29777.0,28.775,71.225,-42.45,False,0.3722,-10.48,bp_004;bp_013
eredeti_oevk,BUDAPEST,59337.0,13901.0,30902.0,31.027,68.973,-37.946,False,0.4481,-5.023,bp_004;bp_015
eredeti_oevk,BUDAPEST,64266.0,16675.0,34338.0,32.688,67.312,-34.625,False,0.4284,2.866,bp_010;bp_016;bp_018
