plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
eredeti_oevk,NÓGRÁD,77051.0,26014.0,26373.0,49.657,50.343,-0.685,False,0.1964,3.505,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,72187.0,23947.0,24314.0,49.62,50.38,-0.76,False,0.3513,0.289,
eredeti_oevk,FEJÉR,65460.0,22585.0,22161.0,50.474,49.526,0.948,True,0.3163,-2.724,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70407.0,24759.0,23945.0,50.836,49.164,1.671,True,0.2571,-0.277,
eredeti_oevk,HAJDÚ-BIHAR,67070.0,22250.0,21380.0,50.997,49.003,1.994,True,0.3577,4.049,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,67593.0,19829.0,20765.0,48.847,51.153,-2.306,False,0.2163,-0.929,
eredeti_oevk,VAS,66913.0,24762.0,26420.0,48.38,51.62,-3.239,False,0.2157,0.849,
eredeti_oevk,GYŐR-MOSON-SOPRON,66632.0,26240.0,24570.0,51.643,48.357,3.287,True,0.2272,-5.422,
eredeti_oevk,TOLNA,56292.0,18641.0,19960.0,48.291,51.709,-3.417,False,0.1462,-0.753,
eredeti_oevk,TOLNA,56773.0,19344.0,20766.0,48.227,51.773,-3.545,False,0.1737,0.095,
eredeti_oevk,SOMOGY,60980.0,20698.0,22538.0,47.872,52.128,-4.256,False,0.3915,1.377,
eredeti_oevk,VESZPRÉM,66523.0,22843.0,24978.0,47.768,52.232,-4.465,False,0.1904,-3.022,
eredeti_oevk,ZALA,72849.0,25288.0,28032.0,47.427,52.573,-5.146,False,0.3273,1.596,
eredeti_oevk,SOMOGY,57032.0,18031.0,20242.0,47.112,52.888,-5.777,False,0.1806,-5.187,
eredeti_oevk,VAS,64940.0,25830.0,22982.0,52.917,47.083,5.835,True,0.1598,-2.125,
eredeti_oevk,HAJDÚ-BIHAR,68932.0,21133.0,24499.0,46.312,53.688,-7.376,False,0.2053,6.938,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70903.0,25593.0,21893.0,53.896,46.104,7.792,True,0.1991,0.426,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,75646.0,23942.0,28097.0,46.008,53.992,-7.984,False,0.2556,7.144,
eredeti_oevk,BARANYA,68656.0,20467.0,24381.0,45.636,54.364,-8.727,False,0.1521,-1.948,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,70017.0,20918.0,24939.0,45.616,54.384,-8.769,False,0.1878,2.624,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71369.0,24967.0,24926.0,50.041,49.959,0.082,True,0.2498,1.086,
szimulalt_recom,NÓGRÁD,75778.0,25839.0,25795.0,50.043,49.957,0.085,True,0.2226,1.795,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,70943.0,23929.0,23864.0,50.068,49.932,0.136,True,0.1852,0.482,
szimulalt_recom,HEVES,76905.0,25251.0,25177.0,50.073,49.927,0.147,True,0.2252,-0.278,
szimulalt_recom,TOLNA,57442.0,19368.0,19307.0,50.079,49.921,0.158,True,0.2853,1.274,
szimulalt_recom,HAJDÚ-BIHAR,66679.0,22098.0,22011.0,50.099,49.901,0.197,True,0.3311,3.442,
szimulalt_recom,ZALA,67423.0,23961.0,23866.0,50.099,49.901,0.199,True,0.184,-5.971,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,69487.0,22899.0,22805.0,50.103,49.897,0.206,True,0.2118,1.847,
szimulalt_recom,VAS,69487.0,26137.0,26023.0,50.109,49.891,0.219,True,0.2795,4.728,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,67435.0,20228.0,20058.0,50.211,49.789,0.422,True,0.1949,-1.16,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,70446.0,23685.0,23454.0,50.245,49.755,0.49,True,0.4757,-2.129,
szimulalt_recom,HAJDÚ-BIHAR,63961.0,20768.0,20344.0,50.516,49.484,1.031,True,0.2757,-0.774,
szimulalt_recom,BÁCS-KISKUN,65946.0,22595.0,22120.0,50.531,49.469,1.062,True,0.224,0.275,
szimulalt_recom,BÁCS-KISKUN,61001.0,20988.0,20473.0,50.621,49.379,1.242,True,0.3784,-7.244,
szimulalt_recom,SOMOGY,61950.0,21392.0,20631.0,50.905,49.095,1.811,True,0.2224,2.989,
szimulalt_recom,VESZPRÉM,67694.0,23386.0,24608.0,48.727,51.273,-2.546,False,0.229,-1.315,
szimulalt_recom,FEJÉR,67921.0,23998.0,22764.0,51.319,48.681,2.639,True,0.288,0.933,
szimulalt_recom,VAS,65387.0,25771.0,24385.0,51.382,48.618,2.763,True,0.1108,-1.451,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69143.0,23728.0,22012.0,51.876,48.124,3.752,True,0.1971,-2.067,
szimulalt_recom,GYŐR-MOSON-SOPRON,74477.0,29809.0,27014.0,52.459,47.541,4.919,True,0.2226,5.713,
