megye,megye_slug,eredeti_korzet,eredeti_target_mandatum,eredeti_avg_margin,eredeti_avg_polsby,szimulalt_korzet,szimulalt_target_mandatum,szimulalt_avg_margin,szimulalt_avg_polsby,szimulalt_avg_pop_dev,mandatum_valtozas
BARANYA,baranya,4,4,22.03425,0.214425,4,4,22.03425,0.214425,2.6845,0
BORSOD-ABAÚJ-ZEMPLÉN,borsod_abauj_zemplen,7,7,17.98542857142857,0.2510428571428571,7,7,17.98542857142857,0.2510428571428571,6.789714285714285,0
BUDAPEST,budapest,16,16,38.3520625,0.39948125,16,16,38.3520625,0.39948125,7.75975,0
BÁCS-KISKUN,bacs_kiskun,6,6,14.182333333333332,0.27005,6,6,14.182333333333332,0.27005,3.213333333333333,0
BÉKÉS,bekes,4,4,19.62225,0.259625,4,4,19.62225,0.259625,1.2745,0
CSONGRÁD-CSANÁD,csongrad_csanad,4,4,30.53375,0.320475,4,4,30.53375,0.320475,4.8825,0
FEJÉR,fejer,5,4,17.4728,0.30294,5,5,17.9694,0.27896,5.0418,1
GYŐR-MOSON-SOPRON,gyor_moson_sopron,5,4,14.597800000000001,0.26876,5,5,13.865199999999998,0.22232,9.145,1
HAJDÚ-BIHAR,hajdu_bihar,6,5,14.9825,0.34221666666666667,6,6,13.97183333333333,0.22660000000000002,5.536833333333333,1
HEVES,heves,3,3,16.214333333333332,0.21129999999999996,3,3,16.214333333333332,0.21129999999999996,2.690666666666667,0
JÁSZ-NAGYKUN-SZOLNOK,jasz_nagykun_szolnok,4,4,15.028,0.276825,4,4,15.028,0.276825,2.08975,0
KOMÁROM-ESZTERGOM,komarom_esztergom,3,3,22.805333333333333,0.31829999999999997,3,3,22.805333333333333,0.31829999999999997,1.9793333333333332,0
NÓGRÁD,nograd,2,2,5.9585,0.1939,2,2,5.9585,0.1939,3.505,0
PEST,pest,14,14,24.252785714285714,0.4080214285714286,14,14,24.252785714285714,0.4080214285714286,3.0978571428571433,0
SOMOGY,somogy,4,4,11.67675,0.296,4,4,11.67675,0.296,3.46225,0
SZABOLCS-SZATMÁR-BEREG,szabolcs_szatmar_bereg,6,3,6.148166666666666,0.24713333333333334,6,5,6.238333333333333,0.20995,1.1561666666666666,2
TOLNA,tolna,3,3,6.295999999999999,0.20783333333333331,3,3,6.295999999999999,0.20783333333333331,0.5023333333333333,0
VAS,vas,3,2,5.775666666666666,0.22633333333333336,3,2,5.900666666666666,0.22669999999999998,0.3296666666666666,0
VESZPRÉM,veszprem,4,4,18.41225,0.23135,4,4,18.41225,0.23135,3.8545000000000003,0
ZALA,zala,3,3,12.667666666666667,0.3092,3,3,12.667666666666667,0.3092,2.136,0
