plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,bp_keruletek
eredeti_oevk,NÓGRÁD,77051.0,26373.0,26014.0,50.343,49.657,0.685,True,0.1964,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,72187.0,24314.0,23947.0,50.38,49.62,0.76,True,0.3513,
eredeti_oevk,FEJÉR,65460.0,22161.0,22585.0,49.526,50.474,-0.948,False,0.3163,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70407.0,23945.0,24759.0,49.164,50.836,-1.671,False,0.2571,
eredeti_oevk,HAJDÚ-BIHAR,67070.0,21380.0,22250.0,49.003,50.997,-1.994,False,0.3577,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,67593.0,20765.0,19829.0,51.153,48.847,2.306,True,0.2163,
eredeti_oevk,VAS,66913.0,26420.0,24762.0,51.62,48.38,3.239,True,0.2157,
eredeti_oevk,GYŐR-MOSON-SOPRON,66632.0,24570.0,26240.0,48.357,51.643,-3.287,False,0.2272,
eredeti_oevk,TOLNA,56292.0,19960.0,18641.0,51.709,48.291,3.417,True,0.1462,
eredeti_oevk,TOLNA,56773.0,20766.0,19344.0,51.773,48.227,3.545,True,0.1737,
eredeti_oevk,SOMOGY,60980.0,22538.0,20698.0,52.128,47.872,4.256,True,0.3915,
eredeti_oevk,VESZPRÉM,66523.0,24978.0,22843.0,52.232,47.768,4.465,True,0.1904,
eredeti_oevk,ZALA,72849.0,28032.0,25288.0,52.573,47.427,5.146,True,0.3273,
eredeti_oevk,SOMOGY,57032.0,20242.0,18031.0,52.888,47.112,5.777,True,0.1806,
eredeti_oevk,VAS,64940.0,22982.0,25830.0,47.083,52.917,-5.835,False,0.1598,
eredeti_oevk,HAJDÚ-BIHAR,68932.0,24499.0,21133.0,53.688,46.312,7.376,True,0.2053,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70903.0,21893.0,25593.0,46.104,53.896,-7.792,False,0.1991,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,75646.0,28097.0,23942.0,53.992,46.008,7.984,True,0.2556,
eredeti_oevk,BARANYA,68656.0,24381.0,20467.0,54.364,45.636,8.727,True,0.1521,
eredeti_oevk,BORSOD-ABAÚJ-ZEMPLÉN,70017.0,24939.0,20918.0,54.384,45.616,8.769,True,0.1878,
szimulalt_recom,HAJDÚ-BIHAR,67447.0,22387.0,22276.0,50.124,49.876,0.249,True,0.2549,
szimulalt_recom,NÓGRÁD,77051.0,26373.0,26014.0,50.343,49.657,0.685,True,0.1964,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,72187.0,24314.0,23947.0,50.38,49.62,0.76,True,0.3513,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71608.0,25424.0,24467.0,50.959,49.041,1.918,True,0.1585,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,67593.0,20765.0,19829.0,51.153,48.847,2.306,True,0.2163,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69223.0,24469.0,23279.0,51.246,48.754,2.492,True,0.2724,
szimulalt_recom,GYŐR-MOSON-SOPRON,62102.0,24608.0,23349.0,51.313,48.687,2.625,True,0.1689,
szimulalt_recom,VAS,66678.0,26352.0,24657.0,51.661,48.339,3.323,True,0.219,
szimulalt_recom,TOLNA,56292.0,19960.0,18641.0,51.709,48.291,3.417,True,0.1462,
szimulalt_recom,TOLNA,56773.0,20766.0,19344.0,51.773,48.227,3.545,True,0.1737,
szimulalt_recom,SOMOGY,60980.0,22538.0,20698.0,52.128,47.872,4.256,True,0.3915,
szimulalt_recom,VESZPRÉM,66523.0,24978.0,22843.0,52.232,47.768,4.465,True,0.1904,
szimulalt_recom,ZALA,72849.0,28032.0,25288.0,52.573,47.427,5.146,True,0.3273,
szimulalt_recom,SOMOGY,57032.0,20242.0,18031.0,52.888,47.112,5.777,True,0.1806,
szimulalt_recom,VAS,66072.0,23392.0,26278.0,47.095,52.905,-5.81,False,0.1645,
szimulalt_recom,HAJDÚ-BIHAR,59974.0,21517.0,18832.0,53.327,46.673,6.654,True,0.1398,
szimulalt_recom,BARANYA,68656.0,24381.0,20467.0,54.364,45.636,8.727,True,0.1521,
szimulalt_recom,BORSOD-ABAÚJ-ZEMPLÉN,70017.0,24939.0,20918.0,54.384,45.616,8.769,True,0.1878,
szimulalt_recom,BÁCS-KISKUN,70064.0,26816.0,22265.0,54.636,45.364,9.272,True,0.2238,
szimulalt_recom,HAJDÚ-BIHAR,58434.0,21333.0,17698.0,54.657,45.343,9.313,True,0.1922,
