plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,bp_keruletek
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70407.0,23945.0,24759.0,49.164,50.836,-1.671,False,0.2571,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70903.0,21893.0,25593.0,46.104,53.896,-7.792,False,0.1991,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,75646.0,28097.0,23942.0,53.992,46.008,7.984,True,0.2556,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70012.0,20874.0,25840.0,44.685,55.315,-10.631,False,0.1914,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,68667.0,26485.0,20048.0,56.917,43.083,13.833,True,0.2249,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,67980.0,34756.0,16671.0,67.583,32.417,35.166,True,0.3547,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71619.0,24554.0,24404.0,50.153,49.847,0.306,True,0.2386,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69553.0,24203.0,23869.0,50.347,49.653,0.695,True,0.1503,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71129.0,27692.0,22551.0,55.116,44.884,10.232,True,0.2981,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71275.0,20426.0,26587.0,43.448,56.552,-13.105,False,0.1213,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,70039.0,28839.0,20689.0,58.228,41.772,16.455,True,0.2323,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,70000.0,30336.0,18753.0,61.798,38.202,23.596,True,0.1989,
