source,target,kozos_hatar_m
N000000,N000201,4479.045
N000000,N000093,3530.978
N000000,N000198,990.343
N000000,N000257,864.36
N000000,N000138,3697.585
N000000,N000101,1270.98
N000000,N000144,751.818
N000000,N000145,3210.02
N000001,N000049,1508.577
N000001,N000116,2106.849
N000001,N000059,1349.79
N000001,N000227,5778.61
N000001,N000140,4803.118
N000001,N000211,734.935
N000002,N000183,4815.463
N000002,N000003,1413.011
N000002,N000102,3624.002
N000002,N000258,6520.567
N000002,N000099,1179.223
N000002,N000044,4369.802
N000002,N000035,5129.032
N000002,N000248,2450.294
N000002,N001930,4106.675
N000002,N001905,4378.049
N000003,N000038,2336.151
N000003,N000194,1013.047
N000003,N000196,1977.997
N000003,N000183,5689.505
N000003,N000102,5267.153
N000004,N000008,5251.686
N000004,N000244,3156.069
N000004,N000079,1856.854
N000004,N000027,2423.265
N000004,N000168,3713.005
N000005,N000200,3055.033
N000005,N000167,9703.196
N000005,N000065,6468.952
N000005,N000232,1722.568
N000006,N000152,2317.814
N000006,N000070,6289.625
N000006,N000298,4157.714
N000006,N000174,3463.965
N000007,N000083,5762.621
N000007,N000299,4218.391
N000007,N000212,4314.416
N000007,N000026,1444.936
N000008,N000155,2656.951
N000008,N000135,9345.786
N000008,N000244,2691.299
N000008,N000272,390.362
N000008,N000079,3115.792
N000009,N000134,1881.084
N000009,N000029,5151.54
N000009,N000295,2766.374
N000009,N000245,2333.504
N000009,N000266,3729.332
N000010,N000190,3918.16
N000010,N000243,10081.408
N000010,N000290,663.601
N000010,N000147,5436.991
N000010,N000130,3369.31
N000010,N000150,2287.533
N000011,N000052,3332.441
N000011,N000247,3011.761
N000011,N000091,267.949
N000011,N000233,2684.125
N000011,N000122,168.787
N000011,N000204,1525.497
N000012,N000093,4707.965
N000012,N000026,1436.672
N000012,N000030,6046.359
N000012,N000145,10745.432
N000013,N000093,2011.302
N000013,N000120,4753.945
N000013,N000179,1299.209
N000013,N000275,7247.123
N000014,N000091,1382.968
N000014,N000271,2736.391
N000014,N000122,2860.355
N000014,N000274,3515.979
