varmegye_kod,varmegye,oevk,telepules_kod,telepules,tevk,szavazokor,szavazokor_cim,iranyitoszam,pir,kijelolt,akadalymentes,szavazokor_id,oevk_id
01,BUDAPEST,01,001,Budapest I,01,001,Úri utca 38. (Önkormányzat Intézménye),1014,1014,N,I,01-001-001,01-01
01,BUDAPEST,01,001,Budapest I,01,002,Tárnok utca 9-11. (Budavári Általános Iskola),1014,1014,N,I,01-001-002,01-01
01,BUDAPEST,01,001,Budapest I,02,003,Toldy Ferenc utca 9. (Toldy Ferenc Gimnázium),1011,1011,N,I,01-001-003,01-01
01,BUDAPEST,01,001,Budapest I,02,004,Fő utca 31. (III. sz. Idősek Klubja),1011,1011,N,I,01-001-004,01-01
01,BUDAPEST,01,001,Budapest I,03,005,Batthyány u. 8. (Batthyány Lajos Általános Iskola),1011,1011,N,N,01-001-005,01-01
01,BUDAPEST,01,001,Budapest I,03,006,Toldy Ferenc utca 66. (Vízivárosi Óvoda),1015,1015,N,I,01-001-006,01-01
01,BUDAPEST,01,001,Budapest I,04,007,Hattyú utca 16. (I. sz. Idősek Klubja),1015,1015,N,N,01-001-007,01-01
01,BUDAPEST,01,001,Budapest I,04,008,Attila út 135-137. (Kosztolányi Dezső Gimnázium),1015,1015,N,I,01-001-008,01-01
01,BUDAPEST,01,001,Budapest I,05,009,Attila út 89. (Szociális Szolgáltatási Központ),1012,1012,N,I,01-001-009,01-01
01,BUDAPEST,01,001,Budapest I,05,010,Attila út 43. (Petőfi Sándor Gimnázium),1013,1013,N,I,01-001-010,01-01
01,BUDAPEST,01,001,Budapest I,06,011,Mészáros utca 5-7. (Szilágyi Erszébet Gimnázium),1013,1013,N,I,01-001-011,01-01
01,BUDAPEST,01,001,Budapest I,06,012,Nyárs utca 2-4. (Nyárs utcai Óvoda),1016,1016,N,I,01-001-012,01-01
01,BUDAPEST,01,001,Budapest I,07,013,Mészáros utca 5-7. (Szilágyi Erzsébet Gimnázium),1016,1016,N,I,01-001-013,01-01
01,BUDAPEST,01,001,Budapest I,07,014,Attila út 43. (Petőfi Sándor Gimnázium),1013,1013,N,I,01-001-014,01-01
01,BUDAPEST,01,001,Budapest I,08,015,Lisznyai utca 40-42. (Lisznyai utcai Ált. Isk.),1016,1016,N,I,01-001-015,01-01
01,BUDAPEST,01,001,Budapest I,08,016,Tigris utca 58-60. (TIgris utcai Óvoda),1016,1016,N,I,01-001-016,01-01
01,BUDAPEST,04,002,Budapest II,05,001,Ürömi u. 64. (Újlaki Ált. Isk.),1023,1023,N,N,01-002-001,01-04
01,BUDAPEST,04,002,Budapest II,05,002,Lajos u. 1-5. (Than Károly Gimn.),1023,1023,N,N,01-002-002,01-04
01,BUDAPEST,04,002,Budapest II,05,003,Lajos u. 1-5. (Than Károly Gimn.),1027,1027,N,N,01-002-003,01-04
01,BUDAPEST,04,002,Budapest II,04,004,Bolyai u. 15. (Óvoda),1023,1023,N,N,01-002-004,01-04
01,BUDAPEST,04,002,Budapest II,06,005,Áldás u. 1. (Ált. Iskola),1025,1025,N,N,01-002-005,01-04
01,BUDAPEST,04,002,Budapest II,05,006,Ürömi u. 64. (Újlaki Ált. Isk.),1025,1025,N,N,01-002-006,01-04
01,BUDAPEST,04,002,Budapest II,06,007,Törökvész út 18. (Kézműv. Óvoda),1025,1025,N,I,01-002-007,01-04
01,BUDAPEST,04,002,Budapest II,04,008,Áldás u. 1. (Ált. Isk.),1022,1022,N,N,01-002-008,01-04
01,BUDAPEST,04,002,Budapest II,04,009,Áldás u. 1. (Ált. Isk.),1025,1025,N,N,01-002-009,01-04
01,BUDAPEST,04,002,Budapest II,07,010,Felvinci út 6-8. (Kollégium),1022,1022,I,N,01-002-010,01-04
01,BUDAPEST,04,002,Budapest II,02,011,Keleti K. u. 37. (II. Rákóczi F.Gimn.),1022,1022,N,I,01-002-011,01-04
01,BUDAPEST,04,002,Budapest II,07,012,Fillér u. 70-76. (Fillér Ált. Isk.),1022,1022,N,I,01-002-012,01-04
01,BUDAPEST,04,002,Budapest II,07,013,Pasaréti út 41. (Bölcsőde),1026,1026,N,N,01-002-013,01-04
01,BUDAPEST,04,002,Budapest II,08,014,Fillér utca 70-76. (Fillér Ált. Isk.),1022,1022,N,I,01-002-014,01-04
01,BUDAPEST,04,002,Budapest II,07,015,Fillér u. 70-76. (Fillér Ált. Isk.),1022,1022,N,I,01-002-015,01-04
01,BUDAPEST,04,002,Budapest II,04,016,Törökvész út 18. (Kézműv. Óvoda),1022,1022,N,I,01-002-016,01-04
01,BUDAPEST,04,002,Budapest II,06,017,Pitypang u. 17. (Ált. Isk.),1025,1025,N,I,01-002-017,01-04
01,BUDAPEST,04,002,Budapest II,06,018,Törökvész út 67. (Ált. Isk.),1025,1025,N,N,01-002-018,01-04
01,BUDAPEST,04,002,Budapest II,08,019,Törökvész út 48-54. (Móricz Zs. Gimn.),1026,1026,N,N,01-002-019,01-04
01,BUDAPEST,04,002,Budapest II,08,020,Fenyves u. 1. (Ált. Isk.),1026,1026,N,N,01-002-020,01-04
01,BUDAPEST,04,002,Budapest II,11,021,Hűvösvölgyi út 12/B. (Bölcsőde),1026,1026,N,I,01-002-021,01-04
01,BUDAPEST,04,002,Budapest II,08,022,Törökvész út 48-54. (Móricz Zs. Gimn.),1026,1026,N,N,01-002-022,01-04
01,BUDAPEST,04,002,Budapest II,06,023,Pitypang u. 17. (Óvoda),1025,1025,N,I,01-002-023,01-04
01,BUDAPEST,04,002,Budapest II,10,024,Pitypang u. 17. (Óvoda),1025,1025,N,I,01-002-024,01-04
01,BUDAPEST,04,002,Budapest II,10,025,Pitypang u. 17. (Ált. Isk.),1025,1025,N,I,01-002-025,01-04
01,BUDAPEST,04,002,Budapest II,10,026,Törökvész út 67. (Ált. Isk.),1025,1025,N,N,01-002-026,01-04
01,BUDAPEST,04,002,Budapest II,09,027,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),1026,1026,N,I,01-002-027,01-04
01,BUDAPEST,04,002,Budapest II,08,028,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),1026,1026,N,N,01-002-028,01-04
01,BUDAPEST,04,002,Budapest II,11,029,Hűvösvölgyi út 12/B. (Bölcsőde),1026,1026,N,I,01-002-029,01-04
01,BUDAPEST,04,002,Budapest II,08,030,Hűvösvölgyi út 12/B. (Bölcsőde),1026,1026,N,I,01-002-030,01-04
01,BUDAPEST,04,002,Budapest II,09,031,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),1021,1021,N,N,01-002-031,01-04
