oevk_id,varmegye,oevk_lista,valasztopolgar,megjelent,ervenytelen,ervenyes,fidesz_szavazat,tisza_szavazat,nem_fidesz_szavazat,egyeb_szavazat,osszes_partlista_szavazat,lista_mkkp,lista_tisza,lista_mi_hazank,lista_dk,lista_fidesz_kdnp,gyoztes_lista,gyoztes_lista_szavazat,masodik_lista_szavazat,gyoztes_margin_szavazat,gyoztes_arany_pct,margin_pct,fidesz_pct,tisza_pct,fidesz_tisza_margin_pct,reszvetel_pct
01-01,BUDAPEST,01-01,54235,43333,228,43048,13180,26617,29796,3179,42976,810,26617,1742,627,13180,tisza,26617,13180,13437,61.83,31.21,30.62,61.83,-31.21,79.9
01-02,BUDAPEST,01-02,59616,44223,249,43952,12746,28049,31081,3032,43827,712,28049,1747,573,12746,tisza,28049,12746,15303,63.82,34.82,29.0,63.82,-34.82,74.18
01-03,BUDAPEST,01-03,54140,47094,205,46853,13477,30025,33304,3279,46781,848,30025,1824,607,13477,tisza,30025,13477,16548,64.08,35.32,28.76,64.08,-35.32,86.99
01-04,BUDAPEST,01-04,65170,56321,277,55984,15932,36244,39960,3716,55892,942,36244,1995,779,15932,tisza,36244,15932,20312,64.74,36.28,28.46,64.74,-36.28,86.42
01-05,BUDAPEST,01-05,60161,49332,200,49111,11885,33743,37139,3396,49024,685,33743,1825,886,11885,tisza,33743,11885,21858,68.71,44.51,24.2,68.71,-44.51,82.0
01-06,BUDAPEST,01-06,66589,54165,273,53869,13910,35923,39841,3918,53751,790,35923,2278,850,13910,tisza,35923,13910,22013,66.69,40.86,25.82,66.69,-40.87,81.34
01-07,BUDAPEST,01-07,65548,53453,194,53226,14673,34341,38500,4159,53173,719,34341,2467,973,14673,tisza,34341,14673,19668,64.52,36.95,27.57,64.52,-36.95,81.55
01-08,BUDAPEST,01-08,71592,58459,251,58187,17097,36181,41003,4822,58100,748,36181,3004,1070,17097,tisza,36181,17097,19084,62.18,32.8,29.38,62.18,-32.8,81.66
01-09,BUDAPEST,01-09,64406,51101,256,50827,14772,31629,35946,4317,50718,608,31629,2829,880,14772,tisza,31629,14772,16857,62.23,33.17,29.06,62.23,-33.17,79.34
01-10,BUDAPEST,01-10,61842,53200,235,52961,15048,33686,37832,4146,52880,763,33686,2571,812,15048,tisza,33686,15048,18638,63.61,35.19,28.41,63.61,-35.2,86.03
