telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Aba,3529,2688,2665,1270,1195
Abaliget,461,374,368,138,189
Abasár,1985,1609,1600,593,864
Abaújalpár,65,49,49,22,20
Abaújkér,451,335,332,166,135
Abaújlak,64,45,42,27,11
Abaújszolnok,131,78,76,28,23
Abaújszántó,2114,1515,1497,567,800
Abaújvár,97,70,70,38,31
Abda,2540,2154,2147,812,1170
Abod,122,94,93,58,29
Abony,11246,8503,8450,3571,4073
Abádszalók,3022,2128,2121,963,987
Acsa,1061,795,790,368,344
Acsalag,382,351,351,175,151
Acsád,495,404,396,221,138
Adony,3303,2596,2583,915,1418
Adorjánháza,298,216,213,115,86
Adorjás,129,87,86,54,29
Adács,2057,1482,1474,687,672
Adásztevel,600,475,470,231,176
Aggtelek,396,314,313,155,143
Agyagosszergény,759,661,660,295,307
Ajak,2708,2147,2132,836,1179
Ajka,21171,16805,16754,5778,9604
Aka,205,174,173,88,70
Akasztó,2549,2021,2012,935,886
Alacska,541,385,384,164,202
Alap,1377,1023,1017,564,384
Alattyán,1581,1158,1145,585,474
Albertirsa,10757,8550,8513,3199,4527
Alcsútdoboz,1127,936,927,531,344
Aldebrő,568,455,451,147,217
Algyő,4219,3479,3467,944,2218
Alibánfa,323,264,263,121,125
Almamellék,261,190,190,86,79
Almásfüzitő,1581,1237,1228,456,649
Almásháza,55,44,44,17,22
Almáskamarás,607,420,407,177,184
Almáskeresztúr,56,44,44,21,21
Alsóberecki,558,418,415,163,235
Alsóbogát,172,130,129,75,47
Alsódobsza,207,177,177,85,71
Alsógagy,61,52,51,21,22
Alsómocsolád,226,155,151,76,58
Alsónemesapáti,528,417,413,182,196
Alsónyék,546,431,429,179,208
Alsónána,499,410,410,159,214
Alsónémedi,4207,3486,3463,1514,1609
Alsópetény,477,379,377,146,191
Alsópáhok,1157,964,959,419,457
Alsórajk,253,174,172,79,80
Alsóregmec,144,122,122,54,60
Alsószenterzsébet,43,40,40,21,15
Alsószentiván,451,346,344,160,146
Alsószentmárton,813,560,535,275,179
Alsószuha,310,241,238,126,90
Alsószölnök,274,230,228,109,88
Alsótelekes,96,74,74,34,35
Alsótold,174,149,147,60,79
Alsóvadász,1041,600,594,277,253
Alsózsolca,4103,2994,2962,1193,1509
Alsóörs,1543,1322,1320,480,727
Alsóújlak,437,360,357,203,125
Ambrózfalva,353,274,273,116,139
Anarcs,1467,1087,1081,435,546
Andocs,718,525,522,273,217
Andornaktálya,2035,1723,1716,516,1032
Andrásfa,200,162,160,80,67
Annavölgy,718,521,517,172,284
Apagy,1781,1274,1266,552,595
Apaj,883,677,677,277,337
Aparhant,780,642,623,316,235
Apc,1939,1468,1465,558,754
Apostag,1649,1274,1262,463,653
Apácatorna,129,103,102,63,30
Apátfalva,2314,1634,1622,652,826
Apátistvánfalva,307,256,252,105,95
Apátvarasd,100,78,77,41,33
Aranyosapáti,1442,946,931,598,295
Aranyosgadány,279,191,187,66,90
Arka,45,41,41,10,25
Arló,2420,1342,1328,838,409
Arnót,1780,1459,1452,599,734
Aszaló,1302,894,876,419,396
Aszód,4694,3939,3911,1320,2283
Aszófő,360,326,325,125,167
Atkár,1431,1162,1154,413,620
Attala,598,480,473,235,201
Babarc,523,381,378,150,119
Babarcszőlős,70,51,51,27,20
Babosdöbréte,406,310,309,159,117
Babócsa,1111,762,756,367,350
Babót,881,727,725,321,344
Badacsonytomaj,1630,1357,1355,516,721
Badacsonytördemic,670,534,533,191,295
Bag,2932,2264,2252,927,1122
Bagamér,1849,1206,1171,540,512
Baglad,32,24,23,14,4
Bagod,949,781,776,371,364
Baj,2273,1909,1898,542,1134
Baja,28888,23359,23138,7612,13531
Bajna,1506,1183,1181,544,535
Bajánsenye,373,326,323,203,83
Bajót,1230,893,880,424,393
Bak,1226,1004,1002,432,481
Bakháza,124,90,90,42,41
Bakonszeg,906,717,713,322,333
Bakonya,279,209,206,74,114
Bakonybánk,318,244,242,110,104
Bakonybél,891,735,735,317,360
Bakonycsernye,2387,1924,1912,810,906
Bakonygyirót,132,110,110,46,54
Bakonyjákó,553,445,444,172,210
Bakonykoppány,156,135,129,51,53
Bakonykúti,120,98,98,25,64
Bakonynána,751,617,610,181,281
Bakonyoszlop,334,250,248,101,115
Bakonypéterd,241,200,199,102,80
Bakonypölöske,326,249,245,99,110
Bakonyszentiván,156,123,120,63,37
Bakonyszentkirály,642,517,515,237,232
Bakonyszentlászló,1347,1038,1029,442,493
Bakonyszombathely,1089,815,811,306,444
Bakonyszücs,202,172,170,71,48
Bakonyság,43,36,36,22,12
Bakonysárkány,767,632,597,270,257
Bakonytamási,467,371,368,190,146
Baks,1475,1008,987,400,496
Baksa,621,478,468,159,263
Baktakék,528,325,325,187,108
Baktalórántháza,2608,2221,2201,1392,724
Baktüttös,267,207,205,116,73
Bakóca,210,136,134,89,40
Balajt,342,182,178,129,42
Balassagyarmat,13855,11723,11635,3607,6909
Balaton,748,559,556,202,302
Balatonakali,559,472,469,173,254
Balatonakarattya,826,672,669,230,373
Balatonalmádi,7610,6427,6400,2170,3650
Balatonberény,868,693,691,245,392
Balatonboglár,4353,3580,3569,1418,1892
Balatoncsicsó,191,156,156,41,81
Balatonederics,795,656,655,324,275
Balatonendréd,1041,823,819,382,345
Balatonfenyves,1664,1314,1294,580,620
Balatonföldvár,1810,1541,1537,590,844
Balatonfüred,14263,12200,12151,3802,7450
Balatonfőkajár,1048,825,818,344,369
Balatonfűzfő,3495,2916,2898,1022,1632
Balatongyörök,925,788,784,310,411
Balatonhenye,116,100,100,33,55
Balatonkenese,2076,1709,1701,688,895
Balatonkeresztúr,1341,1077,1075,369,611
Balatonlelle,3732,3039,3021,1246,1540
Balatonmagyaród,329,228,228,111,87
Balatonmáriafürdő,600,483,480,181,243
Balatonrendes,147,120,120,52,60
Balatonszabadi,2325,1871,1864,766,933
Balatonszemes,1325,1089,1087,477,512
Balatonszentgyörgy,1164,941,937,404,468
Balatonszepezd,384,310,310,142,143
Balatonszárszó,1694,1389,1385,557,730
Balatonszőlős,484,406,406,114,241
Balatonudvari,299,258,257,113,130
Balatonvilágos,1091,926,923,293,553
Balatonújlak,339,289,288,128,131
Balatonőszöd,407,333,332,155,145
Balinka,706,547,546,235,230
Balkány,4500,3202,3171,1456,1526
Ballószög,3255,2694,2676,915,1493
Balmazújváros,13378,10141,10059,3751,5352
Balogunyom,897,766,764,343,342
Balotaszállás,1102,784,760,362,316
Balsa,542,391,390,179,173
Balástya,2589,1939,1934,740,973
Bana,1201,950,947,421,454
Barabás,697,483,471,282,162
Baracs,2838,2207,2192,719,1281
Baracska,2236,1801,1793,709,945
Baranyahídvég,132,94,94,56,35
Baranyajenő,334,213,212,122,84
Baranyaszentgyörgy,76,52,52,37,13
Barbacs,607,479,478,248,193
Barcs,10209,8031,7989,2553,4787
Barlahida,89,82,81,31,42
Barnag,99,84,84,42,29
Basal,154,125,125,49,69
Baskó,134,121,119,67,33
Battonya,3984,2634,2616,1078,1342
Batyk,276,205,204,103,85
Baté,587,458,446,153,243
Bazsi,335,263,262,117,122
Becsehely,1553,1249,1240,465,669
Becske,406,320,316,144,123
Becskeháza,21,21,21,7,9
Becsvölgye,592,463,455,225,201
Bedegkér,286,178,178,81,90
